movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Guilty as Sin,male,1,4-Jun-93,Thriller/Suspense,R,"$22,622,537 ","$46,064,723.00"
Life With Mikey,male,1,4-Jun-93,Comedy,PG,"$12,349,549 ","$25,146,538.00"
What's Love Got to Do With It,female,2,9-Jun-93,Drama,R,"$39,100,956 ","$79,618,610.00"
Son in Law,male,1,2-Jul-93,Comedy,PG-13,"$25,989,889 ","$52,921,433.00"
Hocus Pocus,female,2,16-Jul-93,Comedy,PG,"$39,360,491 ","$80,147,079.00"
Another Stakeout,male,1,23-Jul-93,Comedy,PG-13,"$20,107,504 ","$40,943,541.00"
My Boyfriend's Back,female,2,6-Aug-93,,PG-13,"$3,218,882 ","$6,554,384.00"
Father Hood,male,1,27-Aug-93,,PG-13,"$3,268,203 ","$6,654,819.00"
The Joy Luck Club,female,2,8-Sep-93,Drama,R,"$32,790,064 ","$66,768,171.00"
Money for Nothing,female,2,10-Sep-93,Comedy,R,"$1,044,824 ","$2,127,496.00"
The Program,female,2,24-Sep-93,Action,R,"$23,042,200 ","$46,919,256.00"
Cool Runnings,male,1,1-Oct-93,Comedy,PG,"$68,856,263 ","$140,392,731.00"
The Nightmare Before Christmas,male,1,13-Oct-93,Musical,PG,"$50,408,318 ","$100,026,637.00"
The Three Musketeers,male,1,12-Nov-93,Adventure,PG,"$53,661,805 ","$109,310,377.00"
Sister Act 2 Back in the Habit,female,2,10-Dec-93,Comedy,PG,"$57,319,029 ","$116,965,668.00"
Tombstone,male,1,25-Dec-93,Western,R,"$56,505,065 ","$115,781,734.00"
The Air Up There,male,1,7-Jan-94,Comedy,PG,"$20,782,439 ","$42,940,186.00"
Cabin Boy,male,1,7-Jan-94,Comedy,PG-13,"$3,469,493 ","$7,168,577.00"
Iron Will,male,1,14-Jan-94,Drama,PG,"$20,623,071 ","$42,610,902.00"
Red Rock West,male,1,28-Jan-94,,R,"$2,502,551 ","$5,170,709.00"
Blank Check,male,1,11-Feb-94,Comedy,PG,"$30,573,770 ","$63,170,804.00"
Angie,female,2,4-Mar-94,Comedy,R,"$9,252,349 ","$19,116,981.00"
The Ref,male,1,9-Mar-94,Comedy,R,"$11,325,885 ","$23,401,275.00"
D2: The Mighty Ducks,male,1,25-Mar-94,Comedy,PG,"$45,604,206 ","$94,226,333.00"
Holy Matrimony,female,2,8-Apr-94,Comedy,,"$713,234 ","$1,473,665.00"
White Fang 2: Myth of the White Wolf,male,1,15-Apr-94,Adventure,PG,"$8,752,399 ","$18,083,994.00"
The Inkwell,male,1,22-Apr-94,Comedy,R,"$8,864,699 ","$18,316,030.00"
When a Man Loves a Woman,female,2,29-Apr-94,Drama,R,"$50,021,959 ","$103,354,194.00"
3 Ninjas Kick Back,male,1,6-May-94,Action,PG,"$11,744,960 ","$24,267,154.00"
Renaissance Man,male,1,3-Jun-94,Comedy,PG-13,"$24,172,899 ","$49,945,474.00"
The Lion King,male,1,15-Jun-94,Adventure,G,"$422,780,140 ","$761,640,898.00"
I Love Trouble,male,1,29-Jun-94,Romantic Comedy,PG,"$30,806,194 ","$63,651,027.00"
Angels in the Outfield,female,2,15-Jul-94,Comedy,PG,"$50,236,831 ","$103,798,152.00"
In the Army Now,male,1,12-Aug-94,Comedy,PG,"$28,881,266 ","$59,673,787.00"
Color of Night,male,1,19-Aug-94,Thriller/Suspense,R,"$19,750,470 ","$40,804,816.00"
Camp Nowhere,male,1,26-Aug-94,Comedy,PG,"$10,442,641 ","$21,576,332.00"
It's Pat,female,2,26-Aug-94,Comedy,,"$60,822 ","$125,666.00"
A Simple Twist of Fate,female,2,2-Sep-94,Drama,PG-13,"$3,404,935 ","$7,035,189.00"
Quiz Show,male,1,14-Sep-94,Drama,PG-13,"$24,787,282 ","$50,840,394.00"
Terminal Velocity,male,1,23-Sep-94,Action,PG-13,"$16,478,900 ","$34,048,315.00"
Ed Wood,male,1,30-Sep-94,Comedy,R,"$5,828,466 ","$12,042,634.00"
The Puppet Masters,male,1,21-Oct-94,Horror,R,"$8,579,626 ","$17,727,017.00"
Squanto: A Warrior's Tale,male,1,28-Oct-94,Drama,PG,"$3,319,344 ","$6,858,345.00"
The Santa Clause,male,1,11-Nov-94,Comedy,PG,"$144,833,357 ","$298,369,717.00"
A Low Down Dirty Shame,male,1,23-Nov-94,Action,R,"$29,317,886 ","$60,321,919.00"
The Jungle Book,male,1,25-Dec-94,Adventure,PG,"$44,342,956 ","$88,930,321.00"
Houseguest,male,1,6-Jan-95,Comedy,PG,"$26,325,256 ","$51,016,522.00"
Bad Company,female,2,20-Jan-95,Thriller/Suspense,R,"$3,523,909 ","$6,829,092.00"
Miami Rhapsody,male,1,27-Jan-95,Romantic Comedy,PG-13,"$5,086,578 ","$9,857,435.00"
The Jerky Boys,male,1,3-Feb-95,Comedy,R,"$7,555,256 ","$14,641,561.00"
Heavy Weights,male,1,17-Feb-95,Comedy,PG,"$17,671,310 ","$34,245,779.00"
Man of the House,male,1,3-Mar-95,Comedy,PG,"$40,029,009 ","$77,573,459.00"
Roommates,male,1,3-Mar-95,Comedy,PG,"$12,076,989 ","$23,404,369.00"
Tall Tale,male,1,24-Mar-95,Western,PG,"$8,247,627 ","$15,983,331.00"
A Pyromaniac's Love Story,female,2,28-Mar-95,Romantic Comedy,PG,"$468,240 ","$907,414.00"
Jefferson in Paris,male,1,31-Mar-95,Drama,PG-13,"$2,461,628 ","$4,770,461.00"
Funny Bones,male,1,31-Mar-95,Comedy,R,"$529,135 ","$1,025,425.00"
A Goofy Movie,male,1,7-Apr-95,Comedy,G,"$35,336,439 ","$68,479,579.00"
While You Were Sleeping,female,2,21-Apr-95,Romantic Comedy,PG,"$81,057,016 ","$157,082,900.00"
Crimson Tide,female,2,12-May-95,Action,R,"$91,387,195 ","$177,102,077.00"
Mad Love,male,1,26-May-95,Drama,PG-13,"$15,446,532 ","$29,934,306.00"
Pocahontas,female,2,10-Jun-95,Adventure,G,"$141,579,773 ","$274,370,957.00"
Judge Dredd,male,1,30-Jun-95,Action,R,"$34,687,912 ","$67,222,776.00"
Operation Dumbo Drop,male,1,28-Jul-95,Adventure,PG,"$24,670,346 ","$47,809,421.00"
Dangerous Minds,male,1,11-Aug-95,Drama,R,"$84,919,401 ","$164,552,293.00"
A Kid in King Arthur's Court,male,1,11-Aug-95,Adventure,PG,"$13,406,717 ","$25,981,285.00"
The Tie That Binds,male,1,8-Sep-95,Thriller/Suspense,R,"$5,762,795 ","$11,167,895.00"
Unstrung Heroes,female,2,15-Sep-95,Drama,PG,"$7,929,000 ","$15,365,850.00"
The Big Green,male,1,29-Sep-95,Comedy,PG,"$17,736,619 ","$34,372,339.00"
Dead Presidents,male,1,4-Oct-95,Drama,R,"$24,120,194 ","$46,741,467.00"
The Scarlet Letter,male,1,13-Oct-95,Drama,R,"$10,359,006 ","$20,075,033.00"
Feast of July,male,1,13-Oct-95,Drama,R,"$293,274 ","$568,342.00"
Powder,male,1,27-Oct-95,Drama,PG-13,"$30,833,914 ","$59,727,216.00"
Toy Story,male,1,22-Nov-95,Adventure,G,"$191,796,233 ","$370,409,631.00"
Father of the Bride Part II,male,1,8-Dec-95,Comedy,PG,"$76,578,911 ","$147,658,438.00"
Nixon,male,1,20-Dec-95,Drama,R,"$13,668,249 ","$26,302,005.00"
Tom and Huck,male,1,22-Dec-95,Adventure,PG,"$23,837,227 ","$45,911,517.00"
Mr. Holland's Opus,male,1,29-Dec-95,Drama,PG,"$82,582,604 ","$157,508,868.00"
White Squall,female,2,2-Feb-96,Adventure,PG-13,"$10,229,300 ","$19,509,726.00"
Muppet Treasure Island,female,2,16-Feb-96,Adventure,G,"$34,327,391 ","$65,470,567.00"
Mr. Wrong,male,1,16-Feb-96,Romantic Comedy,PG-13,"$12,805,071 ","$24,422,334.00"
Before and After,female,2,23-Feb-96,Drama,PG-13,"$8,642,118 ","$16,482,589.00"
Up Close & Personal,female,2,1-Mar-96,Drama,PG-13,"$51,045,801 ","$97,356,578.00"
Homeward Bound II: Lost in San Franc…,male,1,8-Mar-96,Adventure,G,"$32,709,423 ","$62,384,706.00"
Two Much,female,2,15-Mar-96,Romantic Comedy,PG-13,"$1,078,555 ","$2,057,055.00"
Un indien dans la ville,female,2,22-Mar-96,Comedy,PG,"$1,029,731 ","$1,963,937.00"
James and the Giant Peach,male,1,12-Apr-96,Adventure,PG,"$28,921,264 ","$55,159,783.00"
Celtic Pride,male,1,19-Apr-96,Comedy,PG-13,"$9,240,378 ","$17,623,615.00"
Last Dance,male,1,3-May-96,Drama,R,"$5,857,534 ","$11,171,714.00"
Boys,male,1,10-May-96,Drama,PG-13,"$21,930,418 ","$41,826,566.00"
Spy Hard,male,1,24-May-96,Comedy,PG-13,"$26,936,265 ","$51,373,912.00"
Eddie,male,1,31-May-96,Comedy,PG-13,"$31,369,401 ","$59,828,966.00"
The Rock,female,2,7-Jun-96,Action,R,"$134,069,511 ","$255,702,705.00"
The Hunchback of Notre Dame,male,1,21-Jun-96,Adventure,G,"$100,138,851 ","$190,988,799.00"
Phenomenon,male,1,5-Jul-96,Drama,PG,"$104,636,382 ","$199,559,799.00"
